Scenario,MomentumWindow,FinalPortfolioValue
crash_recovery,27,72716.52
crash_recovery,28,74616.79
crash_recovery,29,78608.8
crash_recovery,30,62700.28
crash_recovery,31,58364.27
crash_recovery,32,53916.02
crash_recovery,33,78365.17
crash_recovery,34,85113.15
crash_recovery,35,93554.21
crash_recovery,36,77881.41
crash_recovery,37,85059.75
crash_recovery,38,79821.68
crash_recovery,39,81019.8
crash_recovery,40,83558.15
crash_recovery,41,83752.5
crash_recovery,42,77631.97
crash_recovery,43,77675.66
crash_recovery,44,75125.83
crash_recovery,45,71365.28
crash_recovery,46,68679.2
crash_recovery,47,75076.87
crash_recovery,48,66298.25
crash_recovery,49,69995.98
crash_recovery,50,74836.96
crash_recovery,51,76101.81
crash_recovery,52,71379.73
crash_recovery,53,70170.59
crash_recovery,54,63604.13
crash_recovery,55,65533.96
crash_recovery,56,71892.97
crash_recovery,57,80956.67
crash_recovery,58,80025.29
crash_recovery,59,81037.32
crash_recovery,60,72182.89
crash_recovery,61,83633.46
crash_recovery,62,75561.31
crash_recovery,63,83792.82
crash_recovery,64,96094.99
crash_recovery,65,95464.48
crash_recovery,66,101190.41
crash_recovery,67,98584.83
crash_recovery,68,113597.64
crash_recovery,69,104135.03
crash_recovery,70,102773.82
crash_recovery,71,96204.48
crash_recovery,72,101433.63
crash_recovery,73,101668.47
crash_recovery,74,85912.81
crash_recovery,75,110991.16
crash_recovery,76,92260.11
crash_recovery,77,91225.04
crash_recovery,78,104466.13
crash_recovery,79,109472.31
crash_recovery,80,105162.23
crash_recovery,81,110134.28
crash_recovery,82,105493.71
crash_recovery,83,109264.46
crash_recovery,84,105316.36
crash_recovery,85,111247.52
crash_recovery,86,114541.45
crash_recovery,87,111044.31
crash_recovery,88,109340.79
crash_recovery,89,102541.76
crash_recovery,90,102653.66
crash_recovery,91,101847.45
crash_recovery,92,103610.95
crash_recovery,93,103516.09
crash_recovery,94,101266.67
crash_recovery,95,101659.91
crash_recovery,96,102407.32
crash_recovery,97,102031.12
crash_recovery,98,96166.0
crash_recovery,99,94526.96
crash_recovery,100,98458.22
